Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
P12002_176_R2	P12002_176_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55888579.0	0.0	151.0	35.0	80.49950794280093	151.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	warn	pass
P12002_177_R2	P12002_177_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35286554.0	0.0	151.0	35.0	81.13221763911487	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P12002_178_R2	P12002_178_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48481249.0	0.0	151.0	36.0	78.03850022519737	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass
P12002_179_R2	P12002_179_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48766422.0	0.0	151.0	35.0	79.27618668175805	151.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	warn	pass
P12002_180_R2	P12002_180_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41084698.0	0.0	151.0	35.0	80.77998913058177	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P12002_181_R2	P12002_181_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53482323.0	0.0	151.0	36.0	78.23959207698398	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass
P12002_182_R2	P12002_182_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49469088.0	0.0	151.0	35.0	80.7093702587568	151.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	fail	pass
P12002_183_R2	P12002_183_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48440227.0	0.0	151.0	35.0	80.99655507270693	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P12002_184_R2	P12002_184_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45256450.0	0.0	151.0	35.0	80.4049626211115	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P12002_185_R2	P12002_185_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53491404.0	0.0	151.0	35.0	78.22492905102271	151.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	warn	pass
P12002_186_R2	P12002_186_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48571854.0	0.0	151.0	35.0	79.81780953244422	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass
P12002_187_R2	P12002_187_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52294972.0	0.0	151.0	35.0	80.09856689682704	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P12002_188_R2	P12002_188_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49606084.0	0.0	151.0	35.0	78.9659955292469	151.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	warn	pass
